id,marking,group,standard,created_at,updated_at
16059,2184-0554,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16060,2184-0555,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16061,2184-0556,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16062,2184-0557,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16063,2184-0558,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16064,2184-0571,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16065,2184-0572,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16066,2184-0573,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16067,2184-0574,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16068,2184-0575,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16069,2184-0576,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16070,2184-0577,Резец,ГОСТ 10046-72,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16071,2210-0061,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16072,2210-0062,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16073,2210-0063,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16074,2210-0064,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16075,2210-0071,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16076,2210-0072,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16077,2210-0073,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16078,2210-0074,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16079,2210-0075,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16080,2210-0076,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16081,2210-0081,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16082,2210-0082,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16083,2210-0083,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16084,2210-0084,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16085,2210-0085,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16086,2210-0086,Фреза,ГОСТ 9304-69,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16087,2210-0501,Фреза,ГОСТ 16222-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16088,2210-0502,Фреза,ГОСТ 16222-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16089,2210-0503,Фреза,ГОСТ 16222-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16090,2210-0504,Фреза,ГОСТ 16222-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16091,2210-0505,Фреза,ГОСТ 16222-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16092,2210-0506,Фреза,ГОСТ 16222-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16093,2214-0001,Фреза,ГОСТ 24359-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16094,2214-0002,Фреза,ГОСТ 24359-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16095,2214-0003,Фреза,ГОСТ 24359-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16096,2214-0004,Фреза,ГОСТ 24359-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16097,2214-0005,Фреза,ГОСТ 24359-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16098,2214-0006,Фреза,ГОСТ 24359-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16099,2214-0007,Фреза,ГОСТ 24359-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16100,2214-0008,Фреза,ГОСТ 24359-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16101,2214-0153,Фреза,ГОСТ 9473-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16102,2214-0154,Фреза,ГОСТ 9473-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16103,2214-0155,Фреза,ГОСТ 9473-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16104,2214-0156,Фреза,ГОСТ 9473-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16105,2214-0157,Фреза,ГОСТ 9473-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16106,2214-0158,Фреза,ГОСТ 9473-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16107,2214-0159,Фреза,ГОСТ 9473-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16108,2214-0160,Фреза,ГОСТ 9473-80,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16109,2214-0321,Фреза,ГОСТ 22088-76,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16110,2214-0322,Фреза,ГОСТ 22088-76,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16111,2214-0323,Фреза,ГОСТ 22088-76,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16112,2214-0501,Фреза,ГОСТ 28719-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16113,2214-0501,Фреза,ГОСТ 16223-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16114,2214-0502,Фреза,ГОСТ 16223-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16115,2214-0503,Фреза,ГОСТ 28719-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16116,2214-0503,Фреза,ГОСТ 16223-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16117,2214-0504,Фреза,ГОСТ 16223-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16118,2214-0505,Фреза,ГОСТ 28719-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16119,2214-0505,Фреза,ГОСТ 16223-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16120,2214-0506,Фреза,ГОСТ 16223-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16121,2214-0506,Фреза,ГОСТ 28719-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16122,2214-0507,Фреза,ГОСТ 28719-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16123,2214-0507,Фреза,ГОСТ 16223-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16124,2214-0508,Фреза,ГОСТ 28719-90,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16125,2214-0508,Фреза,ГОСТ 16223-81,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16126,222-00259,Фреза,ГОСТ 18372-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16127,2220-0171,Фреза,ГОСТ 18372-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16128,2220-0172,Фреза,ГОСТ 18372-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16129,2220-0173,Фреза,ГОСТ 18372-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16130,2220-0174,Фреза,ГОСТ 18372-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16131,2220-0175,Фреза,ГОСТ 18372-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
