id,tool_id,D,l_,L,z,morse_taper,execution,fi_,group,D_additional,d_,hole_type,created_at,updated_at
814,12985,34.0,190.0,339.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
815,12986,34.6,190.0,339.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
816,12987,35.0,190.0,339.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
817,12988,35.6,195.0,344.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
818,12989,36.0,195.0,344.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
819,12990,37.6,200.0,349.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
820,12991,38.0,200.0,349.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
821,12992,39.6,200.0,349.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
822,12993,40.0,200.0,349.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
823,12994,41.6,205.0,354.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
824,12995,42.0,205.0,354.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
825,12996,43.6,210.0,359.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
826,12997,44.0,210.0,359.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
827,12998,44.6,210.0,359.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
828,12999,45.0,210.0,359.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
829,13000,45.6,215.0,364.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
830,13001,46.0,215.0,364.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
831,13002,47.6,220.0,369.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
832,13003,48.0,220.0,369.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
833,13004,49.6,220.0,369.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
834,13005,50.0,220.0,369.0,3,4.0,,90.0,Тип 1,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
835,13006,24.7,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
836,13007,25.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
837,13008,25.7,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
838,13009,26.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
839,13010,26.7,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
840,13011,27.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
841,13012,27.7,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
842,13013,28.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
843,13014,28.7,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
844,13015,29.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
845,13016,29.7,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
846,13017,30.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
847,13018,30.6,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
848,13019,31.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
849,13020,31.6,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
850,13021,32.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
851,13022,32.6,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
852,13023,33.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
853,13024,33.6,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
854,13025,34.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
855,13026,34.6,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
856,13027,35.0,17.0,45.0,4,,,90.0,Тип 2,,13.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
857,13028,35.6,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
858,13029,36.0,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
859,13030,36.6,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
860,13031,37.0,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
861,13032,37.6,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
862,13033,38.0,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
863,13034,38.6,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
864,13035,39.0,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
865,13036,39.6,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
866,13037,40.0,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
867,13038,41.6,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
868,13039,42.0,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
869,13040,43.6,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
870,13041,44.0,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
871,13042,44.6,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
872,13043,45.0,19.0,50.0,4,,,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
873,13044,45.6,20.0,56.0,4,,,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
874,13045,46.0,20.0,56.0,4,,,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
875,13046,46.6,20.0,56.0,4,,,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
876,13047,47.0,20.0,56.0,4,,,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
