id,tool_id,a_,D,l_,L,execution,fi_,mat_,group,D_1,d_,direction,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,cutter_type,h_1_,cutter_group,created_at,updated_at
55,54,,,,140.0,1.0,45.0,1,,,,Правые,20.0,,,,,0.2,25.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
56,55,,,,140.0,1.0,45.0,1,,,,Левые,20.0,,,,,0.2,25.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
57,56,,,,170.0,1.0,45.0,1,,,,Правые,25.0,,,,,0.2,32.0,45.0,0.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
58,57,,,,170.0,1.0,45.0,1,,,,Левые,25.0,,,,,0.2,32.0,45.0,0.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
59,58,,,,200.0,1.0,45.0,1,,,,Правые,32.0,,,,,0.2,40.0,45.0,0.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
60,59,,,,200.0,1.0,45.0,1,,,,Левые,32.0,,,,,0.2,40.0,45.0,0.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
61,60,,,,240.0,1.0,45.0,1,,,,Правые,40.0,,,,,0.2,50.0,45.0,0.0,0.0,22.0,32.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
62,61,,,,240.0,1.0,45.0,1,,,,Левые,40.0,,,,,0.2,50.0,45.0,0.0,0.0,22.0,32.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
63,62,,,,100.0,2.0,45.0,1,,,,Правые,10.0,,,,,0.2,16.0,45.0,10.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
64,63,,,,100.0,2.0,45.0,1,,,,Левые,10.0,,,,,0.2,16.0,45.0,10.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
