id,D,L,l,d,z,a_,d_1_,d_2_,l_,L_,f_,q_,morse_taper,execution,fi_,type_cutter_,material,type_of_cutting_part_,group,tool_type,standard,D_1,f_additional_,D_additional,P,l_nominal_,d_,d_additional_,d_1_additional_,direction,B,c_,c_additional_,h_,R,R_additional,m_n0_,L_additional,K,K_additional,accuracy,D_2,l_1_,f_deviation_,g_,g_deviation_,zxd_xD,z_0_,series,groove_accuracy,m_0_,subgroup,h_additional_,m_,metric_shank,b_,S,t_,d_0_,l_additional_,omega_,l_2_,r_,r_additional_,B_additional,H,omega_u_,D_deviation,c_general_purpose_,c_keyway_,metric_taper,alpha_,created_at,updated_at
208,3.0,28.0,,,3.0,,,,8.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,3.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
209,3.0,28.0,,,3.0,,,,8.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,3.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
210,3.0,28.0,,,4.0,,,,8.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,3.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
211,3.0,28.0,,,4.0,,,,8.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,3.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
212,3.5,28.0,,,3.0,,,,8.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,3.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
213,3.5,28.0,,,3.0,,,,8.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,3.5,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
214,3.5,28.0,,,4.0,,,,8.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,3.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
215,3.5,28.0,,,4.0,,,,8.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,3.5,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
216,4.0,32.0,,,3.0,,,,10.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,4.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
217,4.0,32.0,,,4.0,,,,10.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,4.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
218,4.0,32.0,,,3.0,,,,10.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,4.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
219,4.5,32.0,,,3.0,,,,10.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,4.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
220,4.0,32.0,,,4.0,,,,10.0,,,,,,90.0,Концевая,1,1.0,Тип 1,Фреза,ГОСТ 18372-73,,,,,,4.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-21 14:14:19.242421+00:00,2025-06-21 14:14:19.242421+00:00
