id,tool_id,D,d_1_,d_2_,l_,L,z,morse_taper,execution,fi_,mat_,group,D_1,d_,h_,l_1_,l_2_,r_,l_0_,reamer_type,fi_1_,gamma_,lambda_,reamer_taper,d_2_additional,created_at,updated_at
51,13295,23.0,,,107.0,215.0,8,,1,1.0,,,,23.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
52,13296,24.0,,,115.0,231.0,8,,1,1.0,,,,24.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
53,13297,25.0,,,115.0,231.0,8,,1,1.0,,,,25.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
54,13298,26.0,,,115.0,231.0,8,,1,1.0,,,,26.0,,31.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
55,13299,27.0,,,124.0,247.0,8,,1,1.0,,,,27.0,,31.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
56,13300,28.0,,,124.0,247.0,8,,1,1.0,,,,28.0,,31.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
57,13301,30.0,,,124.0,247.0,10,,1,1.0,,,,30.0,,35.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
58,13302,32.0,,,133.0,265.0,10,,1,1.0,,,,32.0,,35.0,110.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
59,13303,34.0,,,142.0,284.0,10,,1,1.0,,,,34.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
60,13304,35.0,,,142.0,284.0,10,,1,1.0,,,,35.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
61,13305,36.0,,,142.0,284.0,10,,1,1.0,,,,36.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
62,13306,37.0,,,152.0,305.0,12,,1,1.0,,,,37.0,,38.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
63,13307,38.0,,,152.0,305.0,12,,1,1.0,,,,38.0,,38.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
64,13308,40.0,,,152.0,305.0,12,,1,1.0,,,,40.0,,42.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
65,13309,42.0,,,152.0,305.0,12,,1,1.0,,,,42.0,,42.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
66,13310,44.0,,,163.0,326.0,12,,1,1.0,,,,44.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
67,13311,45.0,,,163.0,326.0,12,,1,1.0,,,,45.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
68,13312,46.0,,,163.0,326.0,12,,1,1.0,,,,46.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
69,13313,47.0,,,163.0,326.0,12,,1,1.0,,,,47.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
70,13314,48.0,,,174.0,347.0,12,,1,1.0,,,,48.0,,47.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
71,13315,50.0,,,174.0,347.0,12,,1,1.0,,,,50.0,,47.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
72,13316,52.0,,,174.0,347.0,12,,1,1.0,,,,52.0,,52.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
73,13317,55.0,,,184.0,367.0,12,,1,1.0,,,,55.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
74,13318,56.0,,,184.0,367.0,12,,1,1.0,,,,56.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
75,13319,58.0,,,184.0,367.0,12,,1,1.0,,,,58.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
76,13320,60.0,,,184.0,367.0,12,,1,1.0,,,,60.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
77,13321,62.0,,,194.0,387.0,12,,1,1.0,,,,62.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
78,13322,63.0,,,194.0,387.0,12,,1,1.0,,,,63.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
79,13323,67.0,,,194.0,387.0,12,,1,1.0,,,,67.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
80,13324,71.0,,,203.0,406.0,12,,1,1.0,,,,71.0,,57.0,160.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
81,13325,3.0,,,31.0,62.0,6,,2,1.0,,,,3.0,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
82,13326,3.2,,,31.0,62.0,6,,2,1.0,,,,3.2,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
83,13327,3.5,,,35.0,71.0,6,,2,1.0,,,,3.5,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
84,13328,3.6,,,35.0,71.0,6,,2,1.0,,,,3.6,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
85,13329,3.8,,,35.0,71.0,6,,2,1.0,,,,3.8,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
86,13330,4.0,,,38.0,76.0,6,,2,1.0,,,,4.0,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
87,13331,4.2,,,38.0,76.0,6,,2,1.0,,,,4.2,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
88,13332,4.5,,,41.0,81.0,6,,2,1.0,,,,4.5,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
89,13333,4.8,,,41.0,81.0,6,,2,1.0,,,,4.8,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
