index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
2795,2245-0108,,100.0,,,,,,,8.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2796,2245-0109,,100.0,,,,,,,8.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Праворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2797,2245-0111,,100.0,,,,,,,8.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Праворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2798,2245-0112,,100.0,,,,,,,8.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2799,2245-0113,,125.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Праворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2800,2245-0114,,100.0,,,,,,,8.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2801,2245-0115,,125.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Праворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2802,2245-0116,,125.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Леворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2803,2245-0117,,125.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Праворежущие,22.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2804,2245-0118,,125.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Леворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2805,2245-0119,,160.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,14.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2806,2245-0121,,160.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2807,2245-0122,,125.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Леворежущие,22.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2808,2245-0123,,160.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,22.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2809,2245-0124,,160.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,14.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2810,2245-0125,,180.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2811,2245-0126,,160.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2812,2245-0127,,180.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2813,2245-0128,,160.0,,,,,,,10.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,22.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2814,2245-0129,,180.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,не более,,,,,,,,
2815,2245-0131,,200.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2816,2245-0132,,180.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2817,2245-0133,,200.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,20.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2818,2245-0134,,180.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2819,2245-0135,,200.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2820,2245-0136,,180.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,не более,,,,,,,,
2821,2245-0137,,224.0,,,,,,,14.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2822,2245-0138,,200.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2823,2245-0139,,224.0,,,,,,,14.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,28.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2824,2245-0141,,224.0,,,,,,,14.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2825,2245-0142,,200.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,20.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2826,2245-0143,,250.0,,,,,,,16.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2827,2245-0144,,200.0,,,,,,,12.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2828,2245-0145,,250.0,,,,,,,16.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,28.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2829,2245-0146,,224.0,,,,,,,14.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2830,2245-0147,,250.0,,,,,,,16.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2831,2245-0148,,224.0,,,,,,,14.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,28.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2832,2245-0149,,315.0,,,,,,,20.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2833,2245-0151,,315.0,,,,,,,20.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2834,2245-0152,,224.0,,,,,,,14.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2835,2245-0153,,315.0,,,,,,,20.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,36.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2836,2245-0154,,250.0,,,,,,,16.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2837,2245-0156,,250.0,,,,,,,16.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,28.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2838,2245-0158,,250.0,,,,,,,16.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2839,2245-0162,,315.0,,,,,,,20.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2840,2245-0164,,315.0,,,,,,,20.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2841,2245-0166,,315.0,,,,,,,20.0,,2.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,36.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2842,2245-0501,,80.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Праворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2843,2245-0502,,80.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2844,2245-0503,,80.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Праворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2845,2245-0504,,80.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2846,2245-0505,,80.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Праворежущие,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2847,2245-0506,,80.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2848,2245-0507,,100.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Праворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2849,2245-0508,,100.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2850,2245-0509,,100.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Праворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2851,2245-0510,,100.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2852,2245-0511,,100.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Праворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2853,2245-0512,,100.0,,,,,,,8.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,27,,,Леворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2854,2245-0513,,125.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Праворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2855,2245-0514,,125.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Леворежущие,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,не более,,,,,,,,
2856,2245-0515,,125.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Праворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2857,2245-0516,,125.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Леворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2858,2245-0517,,125.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Праворежущие,22.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2859,2245-0518,,125.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,32,,,Леворежущие,22.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2860,2245-0519,,160.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,14.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2861,2245-0520,,160.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,14.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2862,2245-0521,,160.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2863,2245-0522,,160.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2864,2245-0523,,160.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,22.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2865,2245-0524,,160.0,,,,,,,10.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,22.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2866,2245-0525,,180.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2867,2245-0526,,180.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2868,2245-0527,,180.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2869,2245-0528,,180.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2870,2245-0529,,180.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Праворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,не более,,,,,,,,
2871,2245-0530,,180.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,40,,,Леворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,не более,,,,,,,,
2872,2245-0531,,200.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2873,2245-0532,,200.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2874,2245-0533,,200.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,20.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2875,2245-0534,,200.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,20.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2876,2245-0535,,200.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2877,2245-0536,,200.0,,,,,,,12.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2878,2245-0537,,224.0,,,,,,,14.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2879,2245-0538,,224.0,,,,,,,14.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2880,2245-0539,,224.0,,,,,,,14.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,28.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2881,2245-0540,,224.0,,,,,,,14.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,28.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2882,2245-0541,,224.0,,,,,,,14.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2883,2245-0542,,224.0,,,,,,,14.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2884,2245-0543,,250.0,,,,,,,16.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2885,2245-0544,,250.0,,,,,,,16.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,не более,,,,,,,,
2886,2245-0545,,250.0,,,,,,,16.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,28.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2887,2245-0546,,250.0,,,,,,,16.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,28.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2888,2245-0547,,250.0,,,,,,,16.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2889,2245-0548,,250.0,,,,,,,16.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2890,2245-0549,,315.0,,,,,,,20.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2891,2245-0550,,315.0,,,,,,,20.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,25.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2892,2245-0551,,315.0,,,,,,,20.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2893,2245-0552,,315.0,,,,,,,20.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,32.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2894,2245-0553,,315.0,,,,,,,20.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Праворежущие,36.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2895,2245-0554,,315.0,,,,,,,20.0,,1.0,90.0,Дисковая,0,1.0,,Фреза,ГОСТ 16229-81,,,,,,50,,,Леворежущие,36.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,не более,,,,,,,,
2896,2250-0001,,50.0,27.0,,,,1.0,,14.0,,,90.0,Дисковая,0.1,1.0,,Фреза,ГОСТ 3964-69,,не более,js16,,,16.0,H17,не менее,,3.0,0.1,не более,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2897,2250-0002,,50.0,27.0,,,,1.0,,14.0,,,90.0,Дисковая,0.1,1.0,,Фреза,ГОСТ 3964-69,,не более,js16,,,16.0,H17,не менее,,4.0,0.1,не более,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
