index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
183,2214-0154,,100.0,,,,39.0,,,10.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,32.0,,,Леворежущая,,,,4.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
184,2214-0155,,125.0,,,,42.0,,,12.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,40.0,,,Праворежущая,,,,4.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
185,2214-0156,,125.0,,,,42.0,,,12.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,40.0,,,Леворежущая,,,,4.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
186,2214-0157,,160.0,,,,46.0,,,16.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,50.0,,,Праворежущая,,,,5.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
187,2214-0158,,160.0,,,,46.0,,,16.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,50.0,,,Леворежущая,,,,5.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
188,2214-0159,,200.0,,,,46.0,,,20.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,50.0,,,Праворежущая,,,,5.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
189,2214-0160,,200.0,,,,46.0,,,20.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 9473-80,,,,,,50.0,,,Леворежущая,,,,5.0,,,,,,,,,,,,,,,,,,,не менее,,,,,,,,,,,,,,,,,,,
190,2214-0321,,50.0,,,,167.0,,,5.0,4,,0.0,Торцовая,1,0.0,,Фреза,ГОСТ 22088-76,,,,,,,,,,,,,,,,,js16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2/-1,,,,
191,2214-0322,,63.0,,,,167.0,,,6.0,4,,0.0,Торцовая,1,0.0,,Фреза,ГОСТ 22088-76,,,,,,,,,,,,,,,,,js16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2/-1,,,,
192,2214-0323,,80.0,,,,197.0,,,8.0,5,,0.0,Торцовая,1,0.0,,Фреза,ГОСТ 22088-76,,,,,,,,,,,,,,,,,js16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2/-1,,,,
