index,Обозначение,D,d_1_,d_2_,l_,L,z,Конус_Морзе,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,h_,l_1_,l_2_,r_,l_0_,Тип_развертки,fi_1_,gamma_,lambda_,Конусность_развертки,d_2_доп._
13615,2363-3796,22.0,,,19.0,200.0,6.0,2.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13616,2363-3797,23.0,,,19.0,200.0,6.0,2.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13617,2363-3798,24.0,,,19.0,210.0,6.0,3.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13618,2363-3799,25.0,,,19.0,220.0,6.0,3.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13619,2363-3801,26.0,,,22.0,220.0,6.0,3.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13620,2363-3802,27.0,,,22.0,220.0,6.0,3.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13621,2363-3803,28.0,,,22.0,240.0,6.0,3.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13622,2363-3804,30.0,,,22.0,240.0,6.0,3.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13623,2363-3805,32.0,,,22.0,240.0,6.0,3.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13624,2363-3806,11.0,,,16.0,140.0,4.0,1.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13625,2363-3807,12.0,,,16.0,150.0,4.0,1.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13626,2363-3808,13.0,,,16.0,150.0,4.0,1.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13627,2363-3809,14.0,,,16.0,160.0,4.0,1.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13628,2363-3811,15.0,,,16.0,160.0,4.0,1.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13629,2363-3812,16.0,,,19.0,170.0,6.0,2.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13630,2363-3813,17.0,,,19.0,170.0,6.0,2.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13631,2363-3814,18.0,,,19.0,180.0,6.0,2.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13632,2363-3815,19.0,,,19.0,190.0,6.0,2.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13633,2363-3816,20.0,,,19.0,190.0,6.0,2.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13634,2363-3817,21.0,,,19.0,190.0,6.0,2.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13635,2363-3818,22.0,,,19.0,200.0,6.0,2.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13636,2363-3819,23.0,,,19.0,200.0,6.0,2.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
