index,Обозначение,D,d_1_,d_2_,l_,L,z,Конус_Морзе,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,h_,l_1_,l_2_,r_,l_0_,Тип_развертки,fi_1_,gamma_,lambda_,Конусность_развертки,d_2_доп._
13353,2360-0211,16.0,,,87.0,175.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,16.0,,21.0,70.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13354,2360-0212,17.0,,,87.0,175.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,17.0,,23.0,70.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13355,2360-0213,18.0,,,93.0,188.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,18.0,,23.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13356,2360-0214,19.0,,,93.0,188.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,19.0,,23.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13357,2360-0215,20.0,,,100.0,201.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,20.0,,26.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13358,2360-0216,21.0,,,100.0,201.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,21.0,,26.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13359,2360-0217,22.0,,,107.0,215.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,22.0,,26.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13360,2360-0218,23.0,,,107.0,215.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,23.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13361,2360-0219,24.0,,,115.0,231.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,24.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13362,2360-0220,25.0,,,115.0,231.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,25.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13363,2360-0221,26.0,,,115.0,231.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,26.0,,31.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13364,2360-0222,27.0,,,124.0,247.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,27.0,,31.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13365,2360-0223,28.0,,,124.0,247.0,8.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,28.0,,31.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13366,2360-0224,30.0,,,124.0,247.0,10.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,30.0,,35.0,100.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13367,2360-0225,32.0,,,133.0,265.0,10.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,32.0,,35.0,110.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13368,2360-0226,34.0,,,142.0,284.0,10.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,34.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13369,2360-0227,35.0,,,142.0,284.0,10.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,35.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13370,2360-0228,36.0,,,142.0,284.0,10.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,36.0,,38.0,120.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13371,2360-0229,37.0,,,152.0,305.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,37.0,,38.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13372,2360-0230,38.0,,,152.0,305.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,38.0,,38.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13373,2360-0231,40.0,,,152.0,305.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,40.0,,42.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13374,2360-0232,42.0,,,152.0,305.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,42.0,,42.0,125.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13375,2360-0233,44.0,,,163.0,326.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,44.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13376,2360-0234,45.0,,,163.0,326.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,45.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13377,2360-0235,46.0,,,163.0,326.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,46.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13378,2360-0236,47.0,,,163.0,326.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,47.0,,47.0,130.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13379,2360-0237,48.0,,,174.0,347.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,48.0,,47.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13380,2360-0238,50.0,,,174.0,347.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,50.0,,47.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13381,2360-0239,52.0,,,174.0,347.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,52.0,,52.0,135.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13382,2360-0240,55.0,,,184.0,367.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,55.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13383,2360-0241,56.0,,,184.0,367.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,56.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13384,2360-0242,58.0,,,184.0,367.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,58.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13385,2360-0243,60.0,,,184.0,367.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,60.0,,52.0,145.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13386,2360-0244,62.0,,,194.0,387.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,62.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13387,2360-0245,63.0,,,194.0,387.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,63.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13388,2360-0246,67.0,,,194.0,387.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,67.0,,57.0,150.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13389,2360-0247,71.0,,,203.0,406.0,12.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,71.0,,57.0,160.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13390,2363-2051,10.0,,,16.0,140.0,4.0,1.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13391,2363-2052,11.0,,,16.0,140.0,4.0,1.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13392,2363-2053,12.0,,,16.0,150.0,4.0,1.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13393,2363-2054,13.0,,,16.0,150.0,4.0,1.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13394,2363-2055,14.0,,,16.0,160.0,4.0,1.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13395,2363-2056,15.0,,,16.0,160.0,4.0,1.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13396,2363-2057,16.0,,,19.0,170.0,6.0,2.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13397,2363-2058,17.0,,,19.0,170.0,6.0,2.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13398,2363-2059,18.0,,,19.0,180.0,6.0,2.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13399,2363-2060,19.0,,,19.0,190.0,6.0,2.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13400,2363-2061,20.0,,,19.0,190.0,6.0,2.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13401,2363-2062,21.0,,,19.0,190.0,6.0,2.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13402,2363-2063,22.0,,,19.0,200.0,6.0,2.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13403,2363-2065,24.0,,,19.0,210.0,6.0,3.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13404,2363-2066,25.0,,,19.0,220.0,6.0,3.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13405,2363-2067,26.0,,,22.0,220.0,6.0,3.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13406,2363-2068,27.0,,,22.0,220.0,6.0,3.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13407,2363-2069,28.0,,,22.0,240.0,6.0,3.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13408,2363-2072,10.0,,,16.0,140.0,4.0,1.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13409,2363-2073,10.0,,,16.0,140.0,4.0,1.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13410,2363-2077,11.0,,,16.0,140.0,4.0,1.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13411,2363-2078,11.0,,,16.0,140.0,4.0,1.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13412,2363-2082,12.0,,,16.0,150.0,4.0,1.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13413,2363-2083,12.0,,,16.0,150.0,4.0,1.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13414,2363-2084,13.0,,,16.0,150.0,4.0,1.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13415,2363-2085,13.0,,,16.0,150.0,4.0,1.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13416,2363-2086,14.0,,,16.0,160.0,4.0,1.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13417,2363-2087,14.0,,,16.0,160.0,4.0,1.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13418,2363-2088,15.0,,,16.0,160.0,4.0,1.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13419,2363-2089,15.0,,,16.0,160.0,4.0,1.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13420,2363-2090,16.0,,,19.0,170.0,6.0,2.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13421,2363-2091,16.0,,,19.0,170.0,6.0,2.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13422,2363-2092,17.0,,,19.0,170.0,6.0,2.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13423,2363-2093,17.0,,,19.0,170.0,6.0,2.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13424,2363-2094,18.0,,,19.0,180.0,6.0,2.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13425,2363-2095,18.0,,,19.0,180.0,6.0,2.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13426,2363-2096,19.0,,,19.0,190.0,6.0,2.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13427,2363-2097,19.0,,,19.0,190.0,6.0,2.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13428,2363-2098,20.0,,,19.0,190.0,6.0,2.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13429,2363-2099,20.0,,,19.0,190.0,6.0,2.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13430,2363-2101,34.0,13.0,21.0,36.0,22.0,6.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13431,2363-2102,35.0,13.0,21.0,36.0,22.0,6.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13432,2363-2103,36.0,16.0,27.0,40.0,22.0,8.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13433,2363-2105,38.0,16.0,27.0,40.0,22.0,8.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13434,2363-2106,40.0,16.0,27.0,40.0,22.0,8.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13435,2363-2107,42.0,16.0,27.0,40.0,22.0,10.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13436,2363-2108,45.0,16.0,27.0,40.0,22.0,10.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13437,2363-2110,48.0,19.0,32.0,45.0,25.0,10.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13438,2363-2111,50.0,19.0,32.0,45.0,25.0,10.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13439,2363-2112,32.0,13.0,21.0,36.0,22.0,6.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13440,2363-2113,32.0,13.0,21.0,36.0,22.0,6.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13441,2363-2114,32.0,13.0,21.0,36.0,22.0,6.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13442,2363-2115,34.0,13.0,21.0,36.0,22.0,6.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13443,2363-2116,34.0,13.0,21.0,36.0,22.0,6.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13444,2363-2117,35.0,13.0,21.0,36.0,22.0,6.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13445,2363-2118,35.0,13.0,21.0,36.0,22.0,6.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,45.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13446,2363-2119,36.0,16.0,27.0,40.0,22.0,8.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13447,2363-2120,36.0,16.0,27.0,40.0,22.0,8.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13448,2363-2123,38.0,16.0,27.0,40.0,22.0,8.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13449,2363-2124,38.0,16.0,27.0,40.0,22.0,8.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13450,2363-2125,40.0,16.0,27.0,40.0,22.0,8.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13451,2363-2126,40.0,16.0,27.0,40.0,22.0,8.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13452,2363-2127,42.0,16.0,27.0,40.0,22.0,10.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13453,2363-2128,42.0,16.0,27.0,40.0,22.0,10.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13454,2363-2129,45.0,16.0,27.0,40.0,22.0,10.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13455,2363-2130,45.0,16.0,27.0,40.0,22.0,10.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13456,2363-2133,48.0,19.0,32.0,45.0,25.0,10.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13457,2363-2134,48.0,19.0,32.0,45.0,25.0,10.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13458,2363-2135,50.0,19.0,32.0,45.0,25.0,10.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13459,2363-2136,50.0,19.0,32.0,45.0,25.0,10.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13460,2363-2137,44.0,16.0,27.0,40.0,22.0,10.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13461,2363-2138,44.0,16.0,27.0,40.0,22.0,10.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13462,2363-2139,44.0,16.0,27.0,40.0,22.0,10.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,50.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13463,2363-2141,46.0,19.0,32.0,45.0,25.0,10.0,,1,5.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13464,2363-2142,46.0,19.0,32.0,45.0,25.0,10.0,,1,15.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13465,2363-2143,46.0,19.0,32.0,45.0,25.0,10.0,,1,45.0,"0,1,2,3,5,6,7",Тип 2,Развертка,ГОСТ 28321-89,,,,56.0,,0.2,,Цилиндрическая,0.0,0.0,0.0,,не менее
13466,2363-2150,21.0,,,19.0,190.0,6.0,2.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13467,2363-2151,21.0,,,19.0,190.0,6.0,2.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13468,2363-2152,22.0,,,19.0,200.0,6.0,2.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13469,2363-2153,22.0,,,19.0,200.0,6.0,2.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13470,2363-2154,24.0,,,19.0,210.0,6.0,3.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13471,2363-2155,24.0,,,19.0,210.0,6.0,3.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13472,2363-2156,25.0,,,19.0,220.0,6.0,3.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13473,2363-2157,25.0,,,19.0,220.0,6.0,3.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13474,2363-2158,26.0,,,22.0,220.0,6.0,3.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13475,2363-2159,26.0,,,22.0,220.0,6.0,3.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13476,2363-2160,27.0,,,22.0,220.0,6.0,3.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13477,2363-2161,27.0,,,22.0,220.0,6.0,3.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13478,2363-2162,28.0,,,22.0,240.0,6.0,3.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13479,2363-2163,28.0,,,22.0,240.0,6.0,3.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13480,2363-2221,10.0,,,16.0,140.0,4.0,1.0,2,15.0,"8,9,10,12",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13481,2363-2223,11.0,,,16.0,140.0,4.0,1.0,2,15.0,"8,9,10,15",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
