index,Обозначение,a_,D,l_,L,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,Направление,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,Тип_резца,h_1_,Группа_резца
43,2100-0062,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
44,2100-0063,,,,200.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,25.0,,,,,0.2,40.0,45.0,0.0,0.0,14.0,20.0,Токарный,,
45,2100-0064,,,,200.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,25.0,,,,,0.2,40.0,45.0,0.0,0.0,14.0,20.0,Токарный,,
46,2100-0065,,,,240.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,32.0,,,,,0.2,50.0,45.0,0.0,0.0,18.0,25.0,Токарный,,
47,2100-0066,,,,240.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,32.0,,,,,0.2,50.0,45.0,0.0,0.0,18.0,25.0,Токарный,,
48,2100-0067,,,,100.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,10.0,,,,,0.2,16.0,45.0,0.0,0.0,6.0,8.0,Токарный,,
49,2100-0068,,,,100.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,10.0,,,,,0.2,16.0,45.0,0.0,0.0,6.0,8.0,Токарный,,
50,2100-0069,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,16.0,45.0,0.0,0.0,7.0,10.0,Токарный,,
51,2100-0070,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,16.0,45.0,0.0,0.0,7.0,10.0,Токарный,,
52,2100-0071,,,,120.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,20.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
53,2100-0072,,,,120.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,20.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
54,2100-0073,,,,140.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,25.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
55,2100-0074,,,,140.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,25.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
56,2100-0075,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,25.0,,,,,0.2,32.0,45.0,0.0,0.0,14.0,20.0,Токарный,,
57,2100-0076,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,25.0,,,,,0.2,32.0,45.0,0.0,0.0,14.0,20.0,Токарный,,
58,2100-0077,,,,200.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,32.0,,,,,0.2,40.0,45.0,0.0,0.0,18.0,25.0,Токарный,,
59,2100-0078,,,,200.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,32.0,,,,,0.2,40.0,45.0,0.0,0.0,18.0,25.0,Токарный,,
60,2100-0079,,,,240.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,40.0,,,,,0.2,50.0,45.0,0.0,0.0,22.0,32.0,Токарный,,
61,2100-0080,,,,240.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,40.0,,,,,0.2,50.0,45.0,0.0,0.0,22.0,32.0,Токарный,,
62,2100-0401,,,,100.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,10.0,,,,,0.2,16.0,45.0,10.0,0.0,6.0,8.0,Токарный,,
63,2100-0402,,,,100.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,10.0,,,,,0.2,16.0,45.0,10.0,0.0,6.0,8.0,Токарный,,
64,2100-0403,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,16.0,45.0,10.0,0.0,9.0,10.0,Токарный,,
65,2100-0404,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,16.0,45.0,10.0,0.0,9.0,10.0,Токарный,,
