index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_1,P,d_,Направление,B,K,Точность,D_2,l_1_,Серия,omega_,r_,D_ном.,D_1_доп.,D_2_доп.,L_1,L_2,L_3,L_3_доп.,Разряд,Тип_хвостовика,l_откл._,L_откл.,r_откл._,l_0_,k_,K_откл.,a_откл._
7794,2300-8471,,8.1,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7795,2300-8472,,8.1,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7796,2300-8473,,8.1,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7797,2300-8474,,8.2,,,52,95.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7798,2300-8475,,8.2,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7799,2300-8476,,8.2,,,52,95.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7800,2300-8477,,8.2,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7801,2300-8478,,8.2,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7802,2300-8479,,8.2,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7803,2300-8481,,8.3,,,52,95.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7804,2300-8482,,8.3,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7805,2300-8483,,8.3,,,52,95.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7806,2300-8484,,8.3,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7807,2300-8485,,8.3,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7808,2300-8486,,8.3,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7809,2300-8487,,8.4,,,52,95.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7810,2300-8488,,8.4,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7811,2300-8489,,8.4,,,52,95.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7812,2300-8491,,8.4,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7813,2300-8492,,8.4,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7814,2300-8493,,8.4,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7815,2300-8494,,8.5,,,52,95.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7816,2300-8495,,8.5,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7817,2300-8496,,8.5,,,52,95.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7818,2300-8497,,8.5,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7819,2300-8498,,8.5,,,75,117.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7820,2300-8499,,8.5,,,75,117.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7821,2300-8501,,8.6,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7822,2300-8502,,8.6,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7823,2300-8503,,8.6,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7824,2300-8504,,8.6,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7825,2300-8505,,8.6,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7826,2300-8506,,8.6,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7827,2300-8507,,8.7,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7828,2300-8508,,8.7,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7829,2300-8509,,8.7,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7830,2300-8511,,8.7,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7831,2300-8512,,8.7,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7832,2300-8513,,8.7,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7833,2300-8514,,8.8,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7834,2300-8515,,8.8,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7835,2300-8516,,8.8,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7836,2300-8517,,8.8,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7837,2300-8518,,8.8,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7838,2300-8519,,8.8,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7839,2300-8521,,8.9,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7840,2300-8522,,8.9,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7841,2300-8523,,8.9,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7842,2300-8524,,8.9,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7843,2300-8525,,8.9,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7844,2300-8526,,8.9,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7845,2300-8527,,9.0,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7846,2300-8528,,9.0,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7847,2300-8529,,9.0,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7848,2300-8531,,9.0,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7849,2300-8532,,9.0,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7850,2300-8533,,9.0,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7851,2300-8534,,9.1,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7852,2300-8535,,9.1,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7853,2300-8536,,9.1,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7854,2300-8537,,9.1,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7855,2300-8538,,9.1,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7856,2300-8539,,9.1,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7857,2300-8541,,9.2,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7858,2300-8542,,9.2,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7859,2300-8543,,9.2,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7860,2300-8544,,9.2,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7861,2300-8545,,9.2,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7862,2300-8546,,9.2,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7863,2300-8547,,9.3,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7864,2300-8548,,9.3,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7865,2300-8549,,9.3,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7866,2300-8551,,9.3,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7867,2300-8552,,9.3,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7868,2300-8553,,9.3,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7869,2300-8554,,9.4,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7870,2300-8555,,9.4,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7871,2300-8556,,9.4,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7872,2300-8557,,9.4,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7873,2300-8558,,9.4,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7874,2300-8559,,9.4,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7875,2300-8561,,9.5,,,55,100.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7876,2300-8562,,9.5,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7877,2300-8563,,9.5,,,55,100.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7878,2300-8564,,9.5,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7879,2300-8565,,9.5,,,81,125.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7880,2300-8566,,9.5,,,81,125.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7881,2300-8567,,9.6,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7882,2300-8568,,9.6,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7883,2300-8569,,9.6,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7884,2300-8571,,9.6,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7885,2300-8572,,9.6,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7886,2300-8573,,9.6,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7887,2300-8574,,9.7,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7888,2300-8575,,9.7,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7889,2300-8576,,9.7,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7890,2300-8577,,9.7,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7891,2300-8578,,9.7,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7892,2300-8579,,9.7,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7893,2300-8581,,9.8,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7894,2300-8582,,9.8,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7895,2300-8583,,9.8,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7896,2300-8584,,9.8,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7897,2300-8585,,9.8,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7898,2300-8586,,9.8,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7899,2300-8587,,9.9,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7900,2300-8588,,9.9,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7901,2300-8589,,9.9,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7902,2300-8591,,9.9,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7903,2300-8592,,9.9,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7904,2300-8593,,9.9,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7905,2300-8594,,10.0,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7906,2300-8595,,10.0,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7907,2300-8596,,10.0,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7908,2300-8597,,10.0,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7909,2300-8598,,10.0,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7910,2300-8599,,10.0,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7911,2300-8601,,10.1,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7912,2300-8602,,10.1,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7913,2300-8603,,10.1,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7914,2300-8604,,10.1,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7915,2300-8605,,10.1,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7916,2300-8606,,10.1,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7917,2300-8607,,10.2,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7918,2300-8608,,10.2,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7919,2300-8609,,10.2,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7920,2300-8611,,10.2,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7921,2300-8612,,10.2,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7922,2300-8613,,10.2,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7923,2300-8614,,10.3,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7924,2300-8615,,10.3,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7925,2300-8616,,10.3,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7926,2300-8617,,10.3,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7927,2300-8618,,10.3,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7928,2300-8619,,10.3,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7929,2300-8621,,10.4,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7930,2300-8622,,10.4,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7931,2300-8623,,10.4,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7932,2300-8624,,10.4,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7933,2300-8625,,10.4,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7934,2300-8626,,10.4,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7935,2300-8627,,10.5,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7936,2300-8628,,10.5,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7937,2300-8629,,10.5,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7938,2300-8631,,10.5,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7939,2300-8632,,10.5,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7940,2300-8633,,10.5,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7941,2300-8634,,10.6,,,60,105.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7942,2300-8635,,10.6,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7943,2300-8636,,10.6,,,60,105.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7944,2300-8637,,10.6,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7945,2300-8638,,10.6,,,87,133.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7946,2300-8639,,10.6,,,87,133.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,"В, В1",,,,,,,,,,,,,,,,,,,,,
7947,2300-8641,,10.7,,,65,110.0,,2.0,,1,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7948,2300-8642,,10.7,,,94,142.0,,2.0,,1,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7949,2300-8643,,10.7,,,65,110.0,,2.0,,2,59.0,Укороченные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
7950,2300-8644,,10.7,,,94,142.0,,2.0,,2,59.0,Нормальные,Сверло,ГОСТ 22735-77,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
