index,Обозначение,D,l_,L,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_доп.,d_,Тип_отверстия
13005,2320-2629,50.0,220.0,369.0,3.0,4.0,,90.0,Тип 1,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13006,2320-2631,24.7,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13007,2320-2632,25.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13008,2320-2633,25.7,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13009,2320-2634,26.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13010,2320-2635,26.7,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13011,2320-2636,27.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13012,2320-2637,27.7,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13013,2320-2638,28.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13014,2320-2639,28.7,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13015,2320-2641,29.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13016,2320-2642,29.7,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13017,2320-2643,30.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13018,2320-2644,30.6,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13019,2320-2645,31.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13020,2320-2646,31.6,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13021,2320-2647,32.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13022,2320-2648,32.6,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13023,2320-2649,33.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13024,2320-2651,33.6,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13025,2320-2652,34.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13026,2320-2653,34.6,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13027,2320-2654,35.0,17.0,45.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",13.0,
13028,2320-2655,35.6,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13029,2320-2656,36.0,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13030,2320-2657,36.6,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13031,2320-2658,37.0,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13032,2320-2659,37.6,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13033,2320-2661,38.0,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13034,2320-2662,38.6,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13035,2320-2663,39.0,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13036,2320-2664,39.6,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13037,2320-2665,40.0,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13038,2320-2666,41.6,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13039,2320-2667,42.0,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13040,2320-2668,43.6,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13041,2320-2669,44.0,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13042,2320-2671,44.6,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
13043,2320-2672,45.0,19.0,50.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",16.0,
